TDEP,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE
41.5,8.5,3.708630084991455,-4.79137,80.13505,,54.744476318359375,1.977541446685791,0.0440794229507446,0.021367935,10.0
41.6,8.5,3.708630084991455,-4.79137,84.90851,,70.42032623291016,1.90994131565094,0.0228780508041381,0.017812477,10.0
41.8,8.5,3.697833299636841,-4.802167,88.32963,,63.87135314941406,1.864062786102295,0.0076465606689453,0.016379403,10.0
41.9,8.5,3.708630084991455,-4.79137,87.48749,,63.27142333984375,1.8702393770217896,0.0082060098648071,0.017179722,10.0
42.1,8.5,3.708630084991455,-4.79137,79.531715,,63.26414489746094,1.8796030282974243,0.0100587606430053,0.018699136,10.0
42.2,8.5,3.719426870346069,-4.780573,75.58945,,56.074668884277344,1.8889294862747192,0.0123529434204101,0.019137535,10.0
42.4,8.5,3.708630084991455,-4.79137,73.98337,,47.48088836669922,1.884992599487305,0.0112924575805664,0.018854974,10.0
42.5,8.5,3.697833299636841,-4.802167,77.38143,,47.55937957763672,1.877346754074097,0.00881028175354,0.020403389,10.0
42.7,8.5,3.708630084991455,-4.79137,76.172264,,46.14592742919922,1.874078750610352,0.0078778266906738,0.025450569,10.0
42.8,8.5,3.708630084991455,-4.79137,80.87603,,46.05126190185547,1.876651167869568,0.0106672048568725,0.030049276,10.0
43.0,8.5,3.708630084991455,-4.79137,83.53469,,37.524749755859375,1.8833911418914795,0.0160256624221801,0.03451232,10.0
43.1,8.5,3.708630084991455,-4.79137,84.69482,,37.28968048095703,1.883542537689209,0.0191041231155395,0.029768677,10.0
43.3,8.5,3.708630084991455,-4.79137,79.20493,,36.50820159912109,1.884649395942688,0.0233250856399536,0.025301727,10.0
43.4,8.5,3.708630084991455,-4.79137,74.85877,,45.32753753662109,1.8865742683410645,0.0253076553344726,0.02313284,10.0
43.6,8.5,3.708630084991455,-4.79137,76.16741,,45.55177307128906,1.8952940702438357,0.0249466896057128,0.026370762,10.0
43.7,8.5,3.697833299636841,-4.802167,77.122894,,45.739723205566406,1.954345464706421,0.0467613935470581,0.037118107,10.0
43.9,8.5,3.708630084991455,-4.79137,74.34024,,45.95611572265625,2.0625040531158447,0.0929025411605835,0.046095632,10.0
44.0,8.5,3.708630084991455,-4.79137,75.289764,,45.79066467285156,2.1877429485321045,0.153226613998413,0.055334743,10.0
44.2,8.5,3.708630084991455,-4.79137,82.506134,,45.80988311767578,2.2384612560272217,0.1800398826599121,0.05329559,10.0
44.3,8.5,3.708630084991455,-4.79137,90.42047,,45.55778503417969,2.1839587688446045,0.1580588817596435,0.039845712,10.0
44.5,8.5,3.708630084991455,-4.79137,92.50942,,45.41541290283203,2.0657336711883545,0.1011964082717895,0.024518711,10.0
44.7,8.5,3.697833299636841,-4.802167,88.630455,,45.672393798828125,1.9642014503479004,0.0519828796386718,0.023102317,10.0
44.8,8.5,3.708630084991455,-4.79137,82.3377,,45.86302185058594,1.9402283430099487,0.0423578023910522,0.032603394,10.0
45.0,8.5,3.708630084991455,-4.79137,79.48913,,45.901611328125,1.944846510887146,0.0492013692855834,0.03997702,10.0
45.1,8.5,3.708630084991455,-4.79137,79.02336,,45.82893371582031,1.945805907249451,0.051767349243164,0.040492725,10.0
45.3,8.5,3.708630084991455,-4.79137,79.78298,,45.87003326416016,1.9386337995529173,0.049101710319519,0.03202207,10.0
45.4,8.5,3.6870365142822266,-4.8129635,72.709175,,45.90935516357422,1.9290646314620967,0.04225754737854,0.0240973,10.0
